Real,Imaginary
95.697634, 611.321419
44.295331, -65.624068
111.680517, -158.766996
60.501882, 39.306385
21.394389, 17.989161
-13.996199, 7.557408
8.812066, -23.671054
26.661758, -5.952471
37.840172, -41.432175
22.096682, 11.390632
-48.596140, -28.760186
-1.408975, 7.520108
-9.523211, -21.129133
14.218974, 10.023765
0.762256, -5.791291
-10.145580, 16.074021
-20.445655, 2.794423
-7.197267, -15.692581
29.718844, 45.129875
11.132228, 7.678865
27.693123, -33.402375
2.803109, 8.203567
-32.958747, -44.617282
7.597917, 7.080182
-5.981491, -4.511721
-33.824471, 8.378208
-5.696540, 25.787928
5.087291, 24.136310
4.549775, -23.349212
19.540672, 12.305061
-8.226343, 26.897343
-19.219085, -11.831217
12.182344, 34.779079
27.750456, 3.280271
31.069259, -12.605384
9.417945, 2.295237
-23.809533, -14.815659
3.176418, 0.895758
25.559619, -8.292525
-5.331015, -0.285417
1.431842, 6.745189
-7.679743, -21.728422
-15.596504, -7.344613
3.877877, 19.914144
-10.394449, 16.284231
15.837379, 5.018406
4.523053, 3.432602
16.794231, 9.821892
5.813257, -20.345164
12.755739, -12.868004
-24.121936, 9.917628
11.083950, -11.379089
-16.385593, 8.910679
8.764288, -0.800744
2.785443, 5.661204
-13.640627, 5.221117
12.898007, -1.889618
-7.903239, 20.337194
19.152029, -2.572187
-3.957675, 6.040185
9.775503, -11.776529
-0.648511, 18.695852
8.435244, 12.122592
16.449289, -4.176776
18.142495, -11.113876
3.963965, -0.686724
9.877165, -7.637629
-2.367975, -22.347180
1.281307, 9.088663
-17.520780, -8.219117
15.961120, -2.110330
0.066105, 10.869119
10.023566, -1.349800
-16.059933, -17.469472
12.578109, 9.048000
6.401838, 15.299448
5.193868, -25.677990
0.991149, 13.116697
3.381203, 2.052757
36.323495, -2.111015
-17.918469, -35.157252
12.101249, -13.475674
-10.395328, 10.100196
-10.598516, -7.921823
1.959453, -12.435113
-7.076325, -0.330439
17.386647, 1.278565
-5.321020, 2.380409
-11.057951, -13.982356
3.298898, -32.516245
-13.866332, 18.114951
-11.284488, 6.500399
6.680863, 6.655754
-11.191908, -18.388755
-3.171329, 4.347891
8.810095, 15.506983
-4.033723, 7.881103
3.919497, -15.324061
8.776903, -16.551354
-1.967053, 12.447178
-20.517072, -7.721564
5.038828, -7.988393
-9.887388, 2.387479
11.880508, 15.860715
-17.695179, -11.952735
13.266549, 1.007831
-9.529571, -12.192614
-6.265530, 13.381177
3.209267, -9.350039
-14.057530, 4.460966
-2.119462, -2.470954
-8.578831, 5.151682
-6.658808, 2.818018
3.575435, 21.448519
-1.889650, 0.748848
-11.605407, 3.942642
28.852608, 15.418949
-4.455730, 9.456356
27.963938, -8.672236
-3.237776, -13.948439
-3.121215, -1.464743
-4.196368, -8.590901
4.038188, 2.621899
8.822325, 9.102965
-9.261966, -12.601904
1.747509, -13.166840
-0.910040, 0.798686
-14.284216, -3.535813
-2.482546, 12.691488
-5.479567, 18.827864
20.138368, -26.684989
12.284587, 17.095034
-18.288678, -34.573832
-8.274235, 6.293896
-0.601151, 12.033617
-19.577029, -11.216404
15.421325, -4.662809
-12.009164, 18.799645
-15.703094, -7.648135
-4.353320, -3.719777
9.978355, 23.483317
-18.665419, -1.380230
-3.957091, -3.819569
-0.811418, 21.874085
3.434389, 12.856421
-0.252500, 15.997924
9.941296, 4.029406
13.033924, -12.141360
5.266662, 25.328484
13.216324, -5.394583
-8.577253, 5.135446
16.465576, -31.959143
4.418200, 31.608565
-1.442719, -10.300826
-0.653647, -3.603675
23.172335, 7.886019
-16.909847, -22.952679
9.451055, -2.969341
0.951921, 8.007499
-18.242456, 5.227752
10.992154, -6.529627
-0.075189, -5.372732
12.526351, 3.844292
-22.012282, 6.823167
7.986524, 3.040736
14.221488, -7.539110
-2.546755, -5.370026
-8.093904, -1.704089
1.137102, 4.072591
-7.941330, -5.758863
-10.098624, 14.275876
-0.518640, 5.716426
18.663813, 18.281061
14.087881, -0.090766
-6.079057, 2.999198
27.262644, -15.510724
-1.244440, -2.928533
0.728612, -6.742005
7.664791, -7.701355
-12.687993, -3.586767
-0.229651, -11.071109
